00.026216,C,slurping,0
00.051278,A,slurping,2
00.051342,H,slurping,3
00.051401,J,slurping,2
00.051459,E,slurping,2
00.051517,F,slurping,0
00.051574,G,slurping,1
00.051631,D,slurping,1
00.051689,B,slurping,0
00.051746,I,sulking
00.051805,K,slurping,1
01.027566,C,swallowing
01.051612,A,swallowing
01.051672,H,swallowing
01.051691,J,swallowing
01.051708,E,swallowing
01.051724,F,swallowing
01.051769,G,swallowing
01.051785,D,swallowing
01.051802,B,swallowing
01.051911,K,swallowing
02.027734,C,idle
02.027744,C,slurping,1
02.051800,H,idle
02.051816,H,slurping,1
02.051871,J,idle
02.051879,J,slurping,1
02.051897,E,idle
02.051904,E,sulking
02.051921,A,idle
02.051929,A,slurping,0
02.051945,G,idle
02.051952,G,slurping,2
02.051968,F,idle
02.052000,F,slurping,3
02.052018,D,idle
02.052025,D,slurping,2
02.052041,B,idle
02.052048,B,sulking
02.052064,K,idle
02.052071,K,slurping,0
03.028280,C,swallowing
03.052116,J,swallowing
03.052171,H,swallowing
03.052189,A,swallowing
03.052204,G,swallowing
03.052218,F,swallowing
03.052232,D,swallowing
03.052246,K,swallowing
04.028701,C,idle
04.028712,C,slurping,2
04.051933,I,idle
04.051955,I,slurping,0
04.052437,H,idle
04.052455,H,slurping,1
04.052486,J,idle
04.052501,J,slurping,3
04.052529,A,idle
04.052543,A,slurping,2
04.052570,G,idle
04.052584,G,slurping,3
04.052609,F,idle
04.052626,F,slurping,3
04.052654,D,idle
04.052670,D,slurping,2
04.052698,K,idle
04.052713,K,sulking
05.030180,C,swallowing
05.053385,J,swallowing
05.053404,H,swallowing
05.053416,A,swallowing
05.053426,G,swallowing
05.053437,F,swallowing
05.053447,D,swallowing
05.053459,I,swallowing
06.030915,C,idle
06.030924,C,slurping,3
06.052783,E,idle
06.052797,E,slurping,0
06.052823,B,idle
06.052831,B,slurping,0
06.053516,H,idle
06.053526,H,slurping,1
06.053543,A,idle
06.053551,A,slurping,2
06.053566,J,idle
06.053574,J,slurping,2
06.053589,G,idle
06.053596,G,slurping,0
06.053610,F,idle
06.053618,F,slurping,2
06.053632,D,idle
06.053639,D,sulking
06.053653,I,idle
06.053660,I,sulking
07.032403,C,swallowing
07.053430,E,swallowing
07.053448,B,swallowing
07.053623,A,swallowing
07.053635,H,swallowing
07.053646,J,swallowing
07.053685,G,swallowing
07.053697,F,swallowing
08.033936,C,idle
08.033952,C,slurping,2
08.053890,E,idle
08.053901,E,slurping,1
08.053920,H,idle
08.053926,H,slurping,2
08.053937,A,idle
08.053942,A,slurping,1
08.053953,J,idle
08.053958,J,slurping,3
08.053969,G,idle
08.053975,G,slurping,1
08.053986,F,idle
08.053991,F,slurping,2
08.054002,B,idle
08.054008,B,slurping,0
08.054018,K,idle
08.054024,K,slurping,3
09.035436,C,swallowing
09.055180,A,swallowing
09.055221,H,swallowing
09.055252,J,swallowing
09.055283,E,swallowing
09.055313,G,swallowing
09.055343,F,swallowing
09.055374,B,swallowing
09.055403,K,swallowing
10.036956,C,idle
10.036972,C,slurping,2
10.054695,D,idle
10.054711,D,slurping,3
10.054737,I,idle
10.054747,I,slurping,0
10.055428,H,idle
10.055467,H,slurping,2
10.055488,J,idle
10.055497,J,slurping,0
10.055513,A,idle
10.055522,A,slurping,0
