00.048731,A,slurping,0
00.048887,K,slurping,2
00.048973,C,slurping,3
00.049112,J,slurping,2
00.049164,F,slurping,2
00.049215,G,slurping,0
00.049266,I,slurping,1
00.049318,D,slurping,1
00.049370,E,slurping,0
00.049423,H,sulking
00.049473,B,slurping,1
01.050465,K,swallowing
01.050493,A,swallowing
01.050510,C,swallowing
01.050527,J,swallowing
01.050543,F,swallowing
01.050558,G,swallowing
01.050574,I,swallowing
01.050590,D,swallowing
01.050605,E,swallowing
01.050621,B,swallowing
02.051070,A,idle
02.051076,A,slurping,1
02.051087,C,idle
02.051090,C,slurping,1
02.051097,K,idle
02.051099,K,slurping,1
02.051106,J,idle
02.051109,J,sulking
02.051116,F,idle
02.051119,F,slurping,0
02.051126,G,idle
02.051129,G,slurping,2
02.051136,I,idle
02.051138,I,slurping,3
02.051145,D,idle
02.051148,D,slurping,2
02.051155,E,idle
02.051157,E,sulking
02.051164,B,idle
02.051166,B,slurping,0
03.051769,C,swallowing
03.051795,K,swallowing
03.051813,A,swallowing
03.051828,F,swallowing
03.051843,G,swallowing
03.051858,I,swallowing
03.051873,D,swallowing
03.051888,B,swallowing
04.049880,H,idle
04.049892,H,slurping,2
04.052305,A,idle
04.052314,A,slurping,0
04.052455,K,idle
04.052464,K,slurping,1
04.052480,C,idle
04.052487,C,slurping,3
04.052499,F,idle
04.052506,F,slurping,2
04.052518,G,idle
04.052524,G,slurping,3
04.052536,I,idle
04.052543,I,slurping,3
04.052555,D,idle
04.052561,D,slurping,2
04.052574,B,idle
04.052581,B,sulking
05.051046,H,swallowing
05.052640,K,swallowing
05.052651,C,swallowing
05.052657,A,swallowing
05.052664,F,swallowing
05.052673,G,swallowing
05.052684,I,swallowing
05.052696,D,swallowing
06.052550,J,idle
06.052564,J,slurping,3
06.052590,E,idle
06.052597,E,slurping,0
06.052613,H,idle
06.052621,H,slurping,0
06.052830,K,idle
06.052839,K,slurping,1
06.052856,C,idle
06.052864,C,slurping,2
